noise_type,noise_level,num_edges,train_acc,val_acc,test_acc,f1_micro,f1_macro
spurious_edges,0.0,2315598,0.13673700531113578,0.06711634618611363,0.050655309343044665,0.050655309343044665,0.006071326191411859
spurious_edges,0.05,2431377,0.13825447268008928,0.06839155676364979,0.05168405242474745,0.05168405242474745,0.005981600236524077
spurious_edges,0.1,2547156,0.13778163864483567,0.06678076445518306,0.05143715408513878,0.05143715408513878,0.0057045287107906845
spurious_edges,0.15,2662935,0.1398379168911712,0.06889492936004564,0.05219842396559883,0.05219842396559883,0.005641528113574463
spurious_edges,0.2,2778717,0.13926611759272495,0.06909627839860398,0.05234244799703722,0.05234244799703722,0.005669536747174718
spurious_edges,0.25,2894497,0.14056366215458374,0.06761971878250948,0.05186922617945394,0.05186922617945394,0.005467553450096534
spurious_edges,0.3,3010272,0.14031075092642484,0.06959965099499983,0.05160175297821122,0.05160175297821122,0.005242288953237181
edge_removal,0.05,2199818,0.13595627934594956,0.06728413705157892,0.050778758512849,0.050778758512849,0.006138303897759763
edge_removal,0.1,2084038,0.13669302074971684,0.06761971878250948,0.050902207682653335,0.050902207682653335,0.006243211433950105
edge_removal,0.15,1968258,0.1354724491703412,0.0662102755126011,0.05020266238709545,0.05020266238709545,0.006171476197780372
edge_removal,0.2,1852478,0.13531850320537492,0.06661297358971778,0.050573009896508446,0.050573009896508446,0.006182423440543639
edge_removal,0.25,1736698,0.13470271934550973,0.06671364810899695,0.049750015431146224,0.049750015431146224,0.006218948822107726
edge_removal,0.3,1620918,0.13299831759052572,0.0659753683009497,0.048844721519247784,0.048844721519247784,0.006265962703217595
