node_id,attention_entropy
0,5.352825
1,0.93658245
2,2.537859
3,0.95707047
4,1.7179812
5,0.5973463
6,2.0760741
7,0.9792531
8,0.6368443
9,1.2958889
10,1.6192588
11,1.6440434
12,1.8416479
13,1.7169605
14,1.6211764
15,2.2533028
16,1.5854312
17,2.887951
18,0.07412118
19,0.70476127
20,1.7039632
21,1.0693592
22,0.04619011
23,1.9919374
24,1.0883127
25,0.11796458
26,0.8694377
27,1.1338651
28,1.2773623
29,3.5033314
30,2.9014952
31,2.610674
32,0.41123444
33,1.3690977
34,1.1846626
35,1.4788455
36,1.0983479
37,3.350833
38,0.006532406
39,0.9470817
40,0.5743938
41,1.7320007
42,1.7901497
43,3.0571785
44,0.57164925
45,1.6610014
46,1.3766094
47,1.5058739
48,1.3218266
49,0.6363655
50,0.06406856
51,0.66865075
52,2.066736
53,0.8690934
54,1.7432828
55,1.1392193
56,0.67189103
57,0.6735425
58,0.21039651
59,1.3457974
60,0.4551097
61,2.4416697
62,1.9263226
63,1.0619217
64,0.6727996
65,2.272946
66,0.5318789
67,1.615883
68,1.889449
69,0.83065265
70,0.15860495
71,0.94572675
72,1.9917161
73,2.2631474
74,2.8029144
75,1.5494921
76,0.167445
77,0.17444658
78,1.3557632
79,0.885057
80,0.36267003
81,0.51379347
82,1.2383648
83,2.0021641
84,2.2900684
85,1.0257059
86,0.27679822
87,1.3722763
88,2.3972118
89,1.361917
90,0.37740108
91,1.8959951
92,0.1548084
93,1.2571008
94,1.5187345
95,1.0941466
96,1.0675051
97,0.8830384
98,1.8493948
99,2.3815773
100,0.5326031
101,0.40836912
102,1.0824618
103,1.1391913
104,0.18091914
105,1.9915466
106,1.7312515
107,2.7364063
108,3.4337018
109,0.8145846
110,1.3444122
111,1.4349046
112,4.930538
113,1.5609654
114,0.9398836
115,1.0778818
116,0.55229926
117,0.67334855
118,2.1369457
119,0.87163365
120,0.9539422
121,1.4563187
122,1.8699553
123,2.768886
124,2.4838395
125,3.2142794
126,1.5987334
127,2.8845282
128,1.3479917
129,2.1045327
130,2.92717
131,2.1800315
132,2.209695
133,1.2363992
134,0.4477866
135,1.3827124
136,1.6433263
137,0.96775174
138,1.9929383
139,0.89799315
140,1.6785729
141,2.319381
142,2.0487318
143,1.079169
144,0.9682659
145,0.64735186
146,0.99609846
147,2.4166741
148,2.1871653
149,2.2106016
150,1.088376
151,2.8570662
152,1.7705386
153,0.59943736
154,0.6591867
155,2.8018992
156,2.6967833
157,1.3361186
158,2.127322
159,1.018244
160,0.570719
161,0.9592465
162,2.7082264
163,0.5015645
164,0.47824156
165,0.7065631
166,1.6786058
167,0.11843843
168,0.63470775
169,1.3959591
170,0.966583
171,3.2507532
172,1.2859714
173,2.0042098
174,1.559201
175,3.1365132
176,2.2320902
177,1.6924396
178,1.1942308
179,3.354724
180,1.0723947
181,1.7951858
182,1.887104
183,3.1694112
184,2.659114
185,1.7675085
186,1.0180048
187,0.6737193
188,1.7211843
189,3.4635885
190,1.8786976
191,2.5261343
192,2.8204522
193,1.1268167
194,1.3792142
195,2.2666357
196,1.1547604
197,2.0382624
198,2.321392
199,1.9890558
200,1.6153278
201,1.8338898
202,1.3770053
203,1.0683465
204,2.9427197
205,1.1718094
206,3.483299
207,1.2143153
208,2.3238487
209,0.91696084
210,0.66599107
211,2.5947495
212,2.5354161
213,2.8267791
214,1.4553233
215,1.5338839
216,0.6230225
217,2.2662387
218,1.4341578
219,1.0912788
220,1.4096179
221,2.3039625
222,2.3602448
223,0.051348507
224,0.72317
225,0.52196944
226,0.022047648
227,1.6620966
228,2.1753209
229,1.9847664
230,1.3467116
231,0.3401482
232,0.48289925
233,0.67119336
234,1.5168755
235,0.56594545
236,0.15015532
237,0.6345338
238,0.6279468
239,0.640939
240,2.0591528
241,0.6311989
242,2.3645277
243,0.65393656
244,0.6423804
245,2.4742732
246,0.57221377
247,1.6257814
248,1.3850455
249,2.4430938
250,1.642559
251,1.0984607
252,2.0967646
253,2.3585103
254,1.236562
255,0.45148778
256,1.0772966
257,0.10472039
258,2.7033305
259,0.34815586
260,2.050002
261,0.6170883
262,2.3204052
263,0.5043898
264,1.5904624
265,1.1785713
266,0.3756801
267,3.514833
268,1.7619689
269,1.3499527
270,0.5994287
271,1.556424
272,2.4844298
273,2.293404
274,2.3909822
275,1.2156631
276,0.3509024
277,1.3796922
278,0.63141084
279,2.9518945
280,1.1805754
281,1.755161
282,1.5996653
283,2.1432695
284,0.95450747
285,1.3032515
286,3.0176027
287,0.6508561
288,0.4378395
289,1.9554288
290,1.3685055
291,2.6643603
292,1.8568974
293,1.0308611
294,2.2090278
295,0.025241142
296,1.3741786
297,2.3790345
298,1.0537037
299,1.5269641
300,3.2375562
301,1.715827
302,0.6785462
303,4.1216483
304,1.5843266
305,1.3595154
306,0.21114486
307,1.285695
308,1.0118128
309,1.4364377
310,0.4151715
311,1.9024918
312,1.8956074
313,2.330168
314,0.92953193
315,1.6911458
316,1.8302317
317,0.82559043
318,0.58595574
319,1.2893763
320,2.4403744
321,0.61400336
322,1.5776584
323,2.2240057
324,0.57384974
325,2.029331
326,1.850322
327,2.0145745
328,2.7117786
329,3.3887038
330,2.7229784
331,1.0578947
332,1.7100465
333,0.088563114
334,1.3280692
335,0.3811795
336,1.4493128
337,2.1728768
338,1.8551047
339,2.1540349
340,0.43306258
341,1.6650862
342,1.3076321
343,0.21537112
344,1.3206539
345,0.36635426
346,1.4526528
347,1.6829331
348,1.6709094
349,1.6409214
350,1.7205664
351,0.60060143
352,0.5338683
353,1.0913734
354,0.09071771
355,3.1280262
356,0.36971653
357,1.2546294
358,1.0488093
359,2.6093762
360,0.6696254
361,0.7220104
362,1.0047129
363,0.3378533
364,1.8853655
365,0.5998659
366,1.1317313
367,1.0419706
368,1.8038998
369,0.23024352
370,0.10406869
371,0.86516404
372,2.1583662
373,1.9121152
374,1.6671455
375,2.141411
376,3.5449178
377,2.272144
378,2.2880416
379,2.8069396
380,3.463256
381,0.6354141
382,0.8466818
383,0.15850165
384,3.5479753
385,1.0577888
386,2.408801
387,1.5372217
388,1.5760813
389,0.8185172
390,0.9498055
391,1.2898227
392,1.8165886
393,1.8129101
394,0.029209375
395,0.16893946
396,1.1855083
397,1.8933259
398,1.4897629
399,2.6975687
400,0.46799982
401,2.1463253
402,1.926079
403,1.4870297
404,1.2752976
405,0.6872301
406,2.4068463
407,0.59832203
408,5.15901
409,1.7598908
410,3.0592656
411,0.6802476
412,1.5614367
413,1.141418
414,1.0552018
415,2.2077904
416,2.2939577
417,1.4379809
418,2.083427
419,0.7559662
420,1.5667374
421,1.0191097
422,2.9965851
423,1.204695
424,1.7927544
425,2.9027722
426,2.425178
427,0.9496646
428,2.6747417
429,2.580487
430,0.63712656
431,0.67462826
432,0.53563416
433,2.7324424
434,1.509414
435,0.6449918
436,1.489532
437,0.89702225
438,1.545162
439,1.9134346
440,1.1915829
441,1.7528532
442,2.0543103
443,2.0827818
444,2.054724
445,1.181901
446,0.36309063
447,5.1719275
448,1.21581
449,1.0210866
450,2.0345466
451,1.886467
452,0.2673408
453,1.2292172
454,1.6511075
455,1.5258193
456,0.23167393
457,1.1871059
458,0.8960111
459,2.694082
460,3.4645236
461,0.17152405
462,4.0677676
463,1.2345678
464,1.7142642
465,0.25088578
466,1.377986
467,2.3106163
468,1.0160911
469,0.55528325
470,1.6585807
471,3.6165962
472,2.4411502
473,2.2114594
474,2.1748197
475,3.884803
476,2.5331624
477,3.5259864
478,0.06715835
479,2.5116265
480,1.9102619
481,1.0194522
482,1.249804
483,1.6495827
484,2.7685933
485,0.33116335
486,1.1195441
487,3.9035518
488,1.6767509
489,0.47732738
490,2.647111
491,3.4629848
492,0.73766005
493,0.668013
494,1.3720125
495,1.2026817
496,1.66945
497,2.3828351
498,0.49874145
499,3.5239642
500,0.8145373
501,1.6436166
502,1.5698819
503,0.70861673
504,2.6975539
505,3.8149521
506,0.82438946
507,1.0614921
508,4.567274
509,1.6729398
510,4.2906384
511,0.6896078
512,0.18152642
513,2.3317757
514,1.9284731
515,1.6059558
516,2.8339174
517,1.264174
518,0.67157894
519,3.6096501
520,0.84434617
521,3.0120113
522,1.1366367
523,1.0014294
524,1.3443425
525,0.48026758
526,2.4376695
527,2.9375994
528,0.5716061
529,1.7558573
530,1.0270698
531,4.417694
532,0.52450347
533,1.651155
534,3.3603582
535,4.1322107
536,0.4225495
537,0.8387562
538,2.7308593
539,2.341791
540,4.067597
541,1.5603373
542,1.0277039
543,1.9074382
544,2.939532
545,1.589485
546,4.0304437
547,0.71058226
548,0.7231482
549,2.1830149
550,2.3380408
551,2.9914317
552,2.9734473
553,3.3612013
554,1.7004313
555,2.868185
556,2.3840637
557,1.1921617
558,1.5037915
559,2.1623914
560,0.630049
561,1.2928953
562,1.484328
563,2.009565
564,3.3003912
565,3.571007
566,0.34040397
567,1.8655858
568,0.43338257
569,2.9473765
570,2.4267359
571,2.7794356
572,0.9670265
573,0.36883032
574,0.6034029
575,2.1955347
576,1.1518668
577,3.5094967
578,3.566273
579,1.1899574
580,1.4507203
581,0.492967
582,1.2243233
583,3.1030204
584,2.6318932
585,2.26672
586,1.4844185
587,2.0521472
588,1.0802152
589,3.2996628
590,0.6772071
591,1.4169466
592,0.9550818
593,0.29100388
594,1.9955477
595,1.1300185
596,1.3326594
597,1.998891
598,1.9054803
599,0.47424304
600,2.0258627
601,0.5868551
602,0.612756
603,1.966294
604,2.2955322
605,2.029097
606,2.572506
607,0.66952795
608,1.9054368
609,1.1929153
610,0.110099465
611,4.728263
612,1.482022
613,0.066702455
614,1.330418
615,2.0742986
616,2.6445262
617,0.90027744
618,0.14280829
619,1.1060809
620,1.286082
621,2.0674553
622,2.3927126
623,1.0445125
624,0.8763666
625,0.603058
626,0.91111875
627,1.6302595
628,1.094084
629,3.0400481
630,1.0535772
631,0.9649476
632,0.9322497
633,0.7846327
634,2.8602731
635,2.9791868
636,0.4042889
637,2.5839186
638,1.5776813
639,3.4119718
640,3.8010511
641,0.7218395
642,1.3336147
643,1.6458753
644,1.9549726
645,3.243203
646,3.202834
647,2.6623027
648,2.696015
649,0.8690101
650,2.7651875
651,0.47234815
652,1.2238655
653,0.6047125
654,0.6498134
655,1.8271654
656,0.24620129
657,2.5898583
658,1.9372933
659,1.2033336
660,1.893329
661,0.3605771
662,1.3588929
663,0.47490445
664,0.7622069
665,3.0853612
666,0.48143268
667,2.6527896
668,2.004971
669,1.0935321
670,1.2938814
671,1.5716283
672,2.5522468
673,1.0158651
674,1.7108394
675,2.5772977
676,2.824129
677,0.5338756
678,3.6201923
679,0.8542839
680,0.3508578
681,1.03103
682,2.6019857
683,0.46385676
684,1.2323006
685,1.860369
686,1.9841541
687,3.1942253
688,2.5204587
689,0.94105506
690,2.7597756
691,1.4773772
692,1.2262623
693,2.677888
694,1.9112151
695,1.9682786
696,1.9856484
697,1.326211
698,1.4035587
699,0.63230914
700,1.9698629
701,1.6625363
702,2.4935253
703,1.928526
704,2.3577511
705,1.8249543
706,2.3797588
707,2.2205908
708,0.6209412
709,0.15808909
710,2.6774414
711,0.2698379
712,2.6141222
713,0.31201994
714,1.2400928
715,1.8786461
716,0.3146529
717,2.7434793
718,0.5040007
719,0.7468695
720,0.38511825
721,1.873752
722,1.209819
723,2.7826807
724,1.8411102
725,2.2238655
726,1.1183388
727,1.6681312
728,2.2191803
729,2.5550535
730,2.8797343
731,0.7535167
732,0.16924691
733,2.0456219
734,0.31990337
735,2.5040798
736,1.4576077
737,1.99295
738,1.500744
739,2.5925086
740,1.3816907
741,0.40133262
742,1.1746202
743,2.7392573
744,0.4544812
745,1.9679146
746,2.2463048
747,2.0037413
748,2.523369
749,1.9476397
750,2.0597303
751,2.3096976
752,1.8518507
753,2.2350929
754,0.15958187
755,2.3006408
756,3.335489
757,0.8880608
758,1.1208564
759,1.5474019
760,0.51104355
761,1.6241598
762,2.0145597
763,0.4458983
764,2.4094386
765,2.5987992
766,2.7572896
767,1.2950199
768,1.078242
769,1.4042892
770,0.02305139
771,1.5001333
772,2.5623617
773,2.0807917
774,0.50977415
775,1.2623851
776,0.5060786
777,1.6750982
778,1.4247489
779,2.173202
780,1.695785
781,2.4047248
782,1.5929686
783,0.63760936
784,2.1751645
785,1.0975482
786,1.3688171
787,1.6119437
788,1.7828565
789,2.2516887
790,1.1535335
791,2.835198
792,2.690906
793,2.3205519
794,1.6090493
795,1.4103601
796,1.3055298
797,2.4231582
798,2.9100683
799,2.0780995
800,1.9412415
801,1.5510207
802,0.90337193
803,1.3055031
804,2.0763516
805,3.6834426
806,0.022993438
807,1.601595
808,2.894167
809,0.46995473
810,1.0566732
811,2.86474
812,1.5243745
813,2.9974427
814,0.8737372
815,0.5756996
816,0.23575622
817,3.5016603
818,0.24994797
819,2.8233173
820,2.8138556
821,1.7762684
822,2.3771138
823,0.70526665
824,1.8216574
825,1.3673846
826,1.3913612
827,1.9175885
828,1.0571355
829,1.4176487
830,2.6600246
831,0.6075355
832,2.7727542
833,3.518102
834,2.1586466
835,3.11114
836,0.18201491
837,0.59906125
838,1.4307344
839,1.4211192
840,2.4087975
841,2.094519
842,1.0678695
843,0.82540786
844,1.8705478
845,0.7590047
846,0.21640395
847,2.0385003
848,2.334374
849,1.4791955
850,3.2288451
851,0.46481615
852,1.0424215
853,3.8021343
854,2.6670146
855,5.7082167
856,1.0032367
857,1.8784609
858,2.0856333
859,1.8590804
860,2.7096777
861,0.14846942
862,0.49817923
863,0.41540757
864,1.2428813
865,0.9806622
866,1.0746652
867,0.9741225
868,1.1756748
869,2.5182927
870,0.96756274
871,3.348679
872,2.8166018
873,1.2352021
874,1.484503
875,1.5537378
876,2.3564415
877,1.0575674
878,1.8238636
879,1.5658373
880,0.53784573
881,3.7664678
882,1.615327
883,0.6698992
884,0.055278987
885,3.4522588
886,3.6523147
887,2.8218353
888,1.4707422
889,2.8088398
890,2.765713
891,2.9423356
892,2.0246289
893,2.7398217
894,1.5958842
895,2.382173
896,1.2286698
897,1.0447819
898,1.4332256
899,1.5446389
900,1.2939138
901,2.3015175
902,2.2705853
903,0.43317175
904,2.1769907
905,2.4824762
906,1.9352524
907,2.6490996
908,1.6802374
909,1.7233032
910,2.514857
911,1.5567698
912,1.5407802
913,2.0602593
914,1.7858741
915,2.5869665
916,1.8278923
917,0.44394526
918,2.006154
919,4.695331
920,2.416959
921,2.4282737
922,1.2650664
923,1.0464381
924,2.1625721
925,2.2911205
926,2.6813712
927,1.4261142
928,2.3404276
929,1.9498465
930,1.3497623
931,1.3072274
932,1.3106673
933,3.0542364
934,1.5731313
935,1.3729309
936,0.6131521
937,3.1626263
938,1.3372558
939,2.4315953
940,2.4999428
941,3.9980276
942,4.7476254
943,4.713236
944,2.0823035
945,0.4792443
946,1.6159394
947,2.127739
948,0.38836733
949,2.4629254
950,2.5437028
951,1.1886914
952,1.7514079
953,0.9836304
954,1.3445349
955,0.39449078
956,2.880587
957,2.0360932
958,4.1927223
959,1.9683903
960,1.8427607
961,2.5620265
962,1.4905804
963,2.7409592
964,0.4993415
965,1.3515906
966,2.580742
967,0.41403455
968,1.6484814
969,1.3498845
970,4.6488686
971,0.8744705
972,2.8070815
973,0.17649686
974,1.240484
975,1.3591506
976,2.6110382
977,2.328909
978,0.7700158
979,0.28935763
980,0.45941147
981,2.1989882
982,0.641173
983,2.0852563
984,0.61474013
985,3.2179003
986,2.261464
987,1.886932
988,1.4570911
989,0.63523924
990,3.03043
991,1.8075776
992,2.311094
993,1.7238743
994,1.9086027
995,1.0491848
996,2.946944
997,1.725615
998,2.4459608
999,0.54364717
1000,2.589663
1001,3.0180948
1002,1.2417326
1003,0.6186282
1004,2.1558974
1005,1.6174527
1006,2.1269968
1007,1.3703414
1008,2.7841532
1009,1.505226
1010,1.7279649
1011,1.4210728
1012,0.17512557
1013,1.3031716
1014,2.120751
1015,3.00512
1016,0.5714652
1017,1.5959431
1018,2.6734426
1019,1.0401876
1020,2.3570595
1021,2.0820386
1022,2.2103205
1023,1.2257143
1024,1.9093801
1025,2.4230194
1026,1.9812096
1027,2.1457744
1028,1.0557711
1029,2.8044705
1030,0.13144441
1031,1.2896094
1032,0.6397649
1033,1.0938501
1034,2.0796912
1035,1.5609937
1036,0.8537242
1037,1.5337534
1038,3.0528855
1039,2.680246
1040,0.6331558
1041,0.80805796
1042,3.9577985
1043,2.1377425
1044,1.5634885
1045,0.3735513
1046,1.5547965
1047,2.9189615
1048,3.105361
1049,2.370078
1050,1.2371652
1051,1.3321598
1052,1.2859929
1053,2.2436094
1054,2.656491
1055,3.805067
1056,0.7945546
1057,1.1485457
1058,1.5855162
1059,1.7051218
1060,0.5559442
1061,1.4332769
1062,1.2293149
1063,1.0151584
1064,2.9462674
1065,1.5501096
1066,0.40969774
1067,2.3490272
1068,1.7088145
1069,1.7391582
1070,0.34377766
1071,1.4819415
1072,2.5699112
1073,3.4352143
1074,3.9561183
1075,3.247247
1076,1.6226814
1077,0.50650895
1078,0.44553065
1079,1.4832301
1080,1.2649667
1081,1.4811685
1082,1.3047173
1083,1.8198128
1084,1.7145842
1085,2.0388818
1086,2.3926377
1087,3.048258
1088,1.9240459
1089,2.789314
1090,2.2804186
1091,1.9907043
1092,2.1005201
1093,3.0674973
1094,1.4640911
1095,1.58196
1096,1.4107553
1097,1.7764783
1098,0.8056736
1099,2.6188023
1100,2.1534522
1101,1.5823605
1102,1.8656723
1103,1.1842154
1104,1.5918386
1105,0.76782525
1106,2.4241183
1107,0.800293
1108,2.1772747
1109,1.2908721
1110,1.777873
1111,1.898549
1112,1.7265761
1113,1.3605103
1114,1.5318407
1115,1.7680004
1116,1.0803134
1117,2.0779567
1118,0.46824116
1119,2.6686373
1120,1.8808488
1121,2.332979
1122,2.7782335
1123,0.9062753
1124,2.2199125
1125,2.129335
1126,2.8649728
1127,2.2358048
1128,1.1766644
1129,1.0054272
1130,2.8872247
1131,1.5138001
1132,3.477019
1133,0.36812213
1134,3.1999414
1135,1.9220352
1136,0.2718144
1137,3.02894
1138,1.8014674
1139,1.6443229
1140,3.4821677
1141,1.0452476
1142,0.5281465
1143,1.5831511
1144,0.6707349
1145,0.9857674
1146,1.5090817
1147,2.1829996
1148,0.8833464
1149,1.859063
1150,1.2010102
1151,2.2546704
1152,3.2195492
1153,2.4143507
1154,3.0254045
1155,1.1755711
1156,0.03318109
1157,2.18189
1158,2.8129306
1159,3.3379433
1160,2.1134522
1161,1.0194812
1162,2.8208334
1163,1.9000078
1164,0.9318844
1165,2.3259895
1166,2.650411
1167,0.76844335
1168,1.2708935
1169,1.0855606
1170,2.7811089
1171,2.8521802
1172,1.3629743
1173,1.1746216
1174,2.8951204
1175,0.6736434
1176,2.3879278
1177,1.8543581
1178,2.2327178
1179,2.0843434
1180,0.111033276
1181,3.2105577
1182,2.208363
1183,1.6961453
1184,1.0157506
1185,2.0662494
1186,2.4839933
1187,1.0125372
1188,0.40179706
1189,1.6764438
1190,1.7790499
1191,2.136334
1192,1.1782986
1193,2.9833567
1194,1.3346193
1195,0.17493345
1196,1.7301137
1197,1.1588297
1198,1.8863757
1199,1.6794896
1200,2.2649753
1201,2.1657004
1202,2.505881
1203,0.8099288
1204,1.7696778
1205,1.3210715
1206,2.3397453
1207,1.8235393
1208,1.5471249
1209,0.62886477
1210,4.620838
1211,2.1450267
1212,0.24586618
1213,0.90701866
1214,2.438563
1215,1.7505137
1216,1.284476
1217,1.6740733
1218,2.8101358
1219,0.2624214
1220,2.2772942
1221,2.7676997
1222,3.3137136
1223,2.1472611
1224,2.3086545
1225,0.12044631
1226,0.98184204
1227,1.1122618
1228,2.1317227
1229,1.1032816
1230,2.4950092
1231,2.4276767
1232,0.6014428
